;;;;;;;;;;;;;x
ADO;Adonara;Adonara;Adonara;;Adonara;;;;;;;;;x
ADO_ADJ;Adonaran;Adonaran;Adonaran;;Adonaran;;;;;;;;;x
ATJ;Atjeh;;;;;;;;;;;;;x
ATJ_ADJ;Atjehnese;Atjeh;Atjeher;;Atjeh;;;;;;;;;x
BAJ;Bandjar;Banjar;Banjar;;Banjar;;;;;;;;;x
BAJ_ADJ;Bandjar;Banjar;Banjar;;Banjar;;;;;;;;;x
BAT;Bantam;Banten;Banten;;Banten;;;;;;;;;x
BAT_ADJ;Bantenese;Bantenais;Bantener;;Bantenesa;;;;;;;;;x
BAG;Bangkalan;Bangkalan;Bangkalan;;Bangkalan;;;;;;;;;x
BAG_ADJ;Bangkalanen;Bangkalanen;Bangkalanen;;Bangkalanen;;;;;;;;;x
BGG;Banggai;Banggai;Banggai;;Banggai;;;;;;;;;x
BGG_ADJ;Banggaian;Banggaian;Banggaian;;Banggaian;;;;;;;;;x
BLG;Boeloengan;Bulungan;Bulungan;;Bulungan;;;;;;;;;x
BLG_ADJ;Boeloengan;Bulungan;Bulungan;;Bulungan;;;;;;;;;x
BLE;Boeleleng;Boeleleng;Boeleleng;;Boeleleng;;;;;;;;;x
BLE_ADJ;Balinese;Balinais;Baliner;;Balines;;;;;;;;;x
BON;Boni;Boni;Boni;;Boni;;;;;;;;;x
BON_ADJ;Bonian;Bonian;Bonian;;Bonian;;;;;;;;;x
BTN;Buton;Buton;Buton;;Buton;;;;;;;;;x
BTN_ADJ;Butonan;Butonan;Butonan;;Butonan;;;;;;;;;x
DJA;Djambi;;;;;;;;;;;;;x
DJA_ADJ;Djambian;;;;;;;;;;;;;x
DEL;Deli;Deli;Deli;;Deli;;;;;;;;;x
DEL_ADJ;Delian;Delian;Delian;;Delian;;;;;;;;;x
DMB;Domboe;Domboe;Dombu;;Dombu;;;;;;;;;x
DMB_ADJ;Domboe;Dombu;Dombu;;Dombu;;;;;;;;;x
GOW;Gowa;Gowa;Gowa;;Gowa;;;;;;;;;x
