;;;;;;;;;;;;;x
DIM_thalassocracy_in_the_east_title;Thalassocray in the East;;;;;;;;;;;;;x
DIM_thalassocracy_in_the_east_desc;We've conquered the major cities and ports of the East, and removed the last of the competing powers from the region. The time has come to assert our maritime dominance in the region!;;;;;;;;;;;;;x
DIM_BEL_nederlands_belgisch_taalcongress_title;A Belgian-Dutch Language and Literature Congress;;;;;;;;;;;;;x
DIM_BEL_nederlands_belgisch_taalcongress_desc;While a large part of our population speaks Dutch, it has never been a very important language. At court, in government and among the bourgeoisie French is 'la langue preferee,' and Dutch is looked down onto with some disdain. This has left precious little room in our country for the development of the language. The situation is different of course by our neighbour to the north. The Dutch have proven more supportive of the Flemish, and both Dutch and Flemish scholars have now come together in Gent to discuss the language. The hope is to form a more unified and standardised language, and in imitation of German and French efforts, create an extensive dictionary.;;;;;;;;;;;;;x
DIM_NET_nederlands_belgisch_taalcongress_title;The Nederlansch Congress;;;;;;;;;;;;;x
DIM_NET_nederlands_belgisch_taalcongress_desc;One of the causes of the Belgian Revolution was our language policy. The majority of the elites, being Francophone, disdained Dutch and our efforts to make it the national language. It should thus come as no surprise that, after independence, French was swiftly elected as the official language. This has caused some resentment among the Flemish, who find it gives precious little room for their own cultural expression.\nIn an effort to strengthen the cultural base of Dutch in Belgium, Flemish language scholars have joined up with Dutch language scholars in Ghent for an international language and literature congress. The development and unification of the Dutch language is one of the main goals of the congress.;;;;;;;;;;;;;x
DIM_NET_the_first_dictionary_title;The First Dictionary?;;;;;;;;;;;;;x
DIM_NET_the_first_dictionary_desc;For much of history, there has not been a unified Dutch language. Numerous regional varieties exists, with Hollandic Dutch being the most prominent. A movement towards a unified language does exist, but it hampered by a lack of an unambiguous structure of the language. Official rules regarding the language do exist, but they too show regional differences. Language scholars have now recommended to create one national dictionary, and get rid of the regional differences in spelling and pronunciation.;;;;;;;;;;;;;x
DIM_NET_woordenboek_der_nederlandsche_taal_title;The Woordenboek der Nederlandsche Taal;;;;;;;;;;;;;x
DIM_NET_woordenboek_der_nederlandsche_taal_desc;After many years of work, the first true dictionary of the Dutch language has been produced: The Woordenboek der Nederlandsche Taal. While there may have been earlier dictionaries, perhaps most famously by 16th century scholar Kiliaan, none of these were of the calibre of this new dictionary. They were mainly translation dictionaries, or used regional spelling differences. The 'Nieuw Woordenboek der Nederandsche Taal' uses the new (official and unified) spelling rules.\n\nThe dictionary as released is only the first of a large series. The aim of the dictionary is to describe every word in use in the Dutch language since 1500. Such a massive task will take many more years to complete.;;;;;;;;;;;;;x
DIM_NET_dikke_van_dale_title;Nieuw Woordenboek der Nederlandsche taal;;;;;;;;;;;;;x
DIM_NET_dikke_van_dale_desc;The teacher and scholar Johan van Dale has published a new dictionary of the Dutch language. It is based on the recent 'Woordenboek der Nederlandsche Taal,' but has been significantly improved upon. The definitions given in the original dictionary were found to be to vague and imprecise by van Dale. As a teacher he aimed his dictionary at students, and desired a clear cut and precise definition of words.\n\nThe dictionary is often referred to as 'De Dikke van Dale' [The Thick one by van Dale], because, at 1400 pages, it is the thickest book in the common household, after the bible of course.;;;;;;;;;;;;;x
DIM_NET_dagbladzegel_title;The Dagbladzegel;;;;;;;;;;;;;x
