;;;;;;;;;;;;;x
central_asia_refugees;Helping people escape the desert!;;;;;;;;;;;;;x
central_asia_refugees_desc;Don't mind me. I'm here so units stuck in the Karakum and Kyzylkum can go home.;;;;;;;;;;;;;x
new_fancy_palace_modifier;New Palace;;;;;;;;;;;;;x;
religious_insurrection;Religious Insurrection;;;;;;;;;;;;;x;
persian_cossacks_modifier;Persian Cossack Brigade;;;;;;;;;;;;;x;
secessionist_agitation;Secessionist Agitation;;;;;;;;;;;;;x;
turkmenchay_treaty;Turkmenchay Treaty;;;;;;;;;;;;;x;
EVTNAME300965;The Central Asian Refugee Corridor;;;;;;;;;;;;;x;
EVTDESC300965;Help we have exiled military units in either the Kyzylkum or the Karakum desert, they need saving!;;;;;;;;;;;;;x;
EVTNAME300966;Greenlandish Empire;;;;;;;;;;;;;x;
EVTDESC300966;With the colonial race heating up it has been suggested we extend our colony of Greenland to include the other coast and the interiour.;;;;;;;;;;;;;x;
EVTNAME300967;The Coromandel Coast;;;;;;;;;;;;;x
EVTDESC300967;Our posts on the Coromandel Coast were established during the 17th and 18th century in an effort to control the Indian trade. However those were different times. By now most of the Indian subcontinent is in $FROMCOUNTRY_ADJ$ hands, and with it most of the Indian trade as well. Our posts have become little more than symbolic outposts of our empire.\n\nWe've been approached $FROMCOUNTRY_ADJ$ agents wishing to discuss the future of our posts on the Coromandel Coast.;;;;;;;;;;;;;x
EVTDESC300968;The $FROMCOUNTRY_ADJ$ have agreed to our proposition to buy their posts on the Coromandel Coast.;;;;;;;;;;;;;x
EVTDESC300969;The $FROMCOUNTRY_ADJ$ have rejected our proposition to buy their posts on the Coromandel Coast.;;;;;;;;;;;;;x
EVTNAME300970;The Sale of Saint Barthelemy;;;;;;;;;;;;;x;
EVTDESC300970;The $FROMCOUNTRY_ADJ$ bought Saint Barthelemy from us in 1784. The island grew prosperous from the production of cotton, tobacco and sugar, but mostly from its excellent natural harbour. However over time the trade routes have shifted and the once busy harbour is now quiet. With the island no longer as prosperous as it once was, it has become a burden to the $FROMCOUNTRY_ADJ$ treasury. This has brought the $FROMCOUNTRY_ADJ$ officials to our door, hoping to negotiate the resale of the island to us.\n\nAre we interested?;;;;;;;;;;;;;x;
EVTDESC300971;The $FROMCOUNTRY_ADJ$ have agreed to our proposal to sell Saint Barthelemy to them.;;;;;;;;;;;;;x;
EVTDESC300972;The $FROMCOUNTRY_ADJ$ have rejected our proposal to sell Saint Barthelemy to them.;;;;;;;;;;;;;x;
EVTNAME300973;Demarcating the Libyan Desert;;;;;;;;;;;;;x;
EVTDESC300973;An international committee sponsored by the $FROMCOUNTRY_ADJ$ has been working to demark the borders through the Libyan desert, and has awarded us part of the desert.;;;;;;;;;;;;;x;
EVTNAME300975;Demarcating the Sahara Desert;;;;;;;;;;;;;x;
EVTDESC300975;An international commitee sponsored by the $FROMCOUNTRY_ADJ$ has been working to demark the borders through the Sahara desert, and has awarded part of the desert to us.;;;;;;;;;;;;;x;
EVTNAME300980;The Last Bukey Sultan;;;;;;;;;;;;;x
EVTDESC300980;For centuries the migration of nomadic hordes was common sight on the steppes around the black sea. That is until this was forcibly stopped last century, as these migrations put undue pressure on our Baskhir subjects. However, enforcing a complete ban on migration proved difficult, and 'illegal' crossings remained common. Over time these migrations left the area between the Volga and Ural rivers depopulated. This area was only repopulated when a horde under Sultan Bukey was allowed to settle there in 1801 with 7500 families. Today the last the of the Bukey Sultans died, and, under the pledge of fealty which allowed the settlement, the area has naturally reverted back to our direct rule.;;;;;;;;;;;;;x
EVTNAME300981;The $COUNTRY_ADJ$-Afghan Border Treaty;;;;;;;;;;;;;x
EVTDESC300981;Our incursions into the Karakum are raising eyebrows at the foreign office in London. They suspect it is the start of an incursion into Afghanistan, the vital northern buffer of India. Perhaps, in the interest of good relations with the British, it would be a good idea to settle on a border with Afghanistan and demonstrate we have no interest in moving into Afghanistan.;;;;;;;;;;;;;x
EVTNAME300982;The $FROMCOUNTRY_ADJ$-Afghan Border Treaty;;;;;;;;;;;;;x
EVTDESC300982;We've been approached by the $FROMCOUNTRY_ADJ$s with a proposal to delineate their southern border.;;;;;;;;;;;;;x
EVTDESC300984;The negotiations have been successful and under guidance of the Russians and British a border commission has been established to delinate the final frontier.;;;;;;;;;;;;;x
EVTDESC300985;The $FROMCOUNTRY_ADJ$s took great offense in our earnest negotiations: They have cried havoc and let slip the dogs of war!;;;;;;;;;;;;;x
EVTNAME300990;The $COUNTRY_ADJ$-$FROMCOUNTRY_ADJ$ Border Treaty;;;;;;;;;;;;;x
EVTDESC300990;The lack of a properly defined border between us and the $FROMCOUNTRY_ADJ$s has given rise to tensions. Envoys from $FROMCOUNTRY$ have arrived to delineate the common border, right through the middle of the desert.;;;;;;;;;;;;;x
EVTNAME300996;The $COUNTRY_ADJ$-$FROMCOUNTRY_ADJ$ Border Treaty;;;;;;;;;;;;;x
EVTDESC300996;The $FROMCOUNTRY_ADJ$s have come to us to delineate our common border through the Great Rub'al Khali desert.;;;;;;;;;;;;;x
EVTNAME300998;The Goldsmith Arbitration;;;;;;;;;;;;;x
EVTDESC300998;Baluchistan consists of numerous more or less independent tribes who are loosely confederated under one Great Khan. But even though the Baluchis have never accepted any central authority, we've always considered them to be part of our empire. Recent British efforst however have greatly increased their influence in the region.\n\nTo settle the matter as to whom Baluchistan belongs for once and all, an independent arbitration committee has been called. It has ruled that Kohistan belongs in the Persian sphere of influence, while the rest belongs to the British Raj. There are however some discrepencies how the border is to actually run. If we act quickly we might be able to take advantages of this.\n\n[You've gained a core in Bunpoor and Kussurkund. Bunpoor is safe for you, but the Brits can capture Kussurkund via a CB they have on Markan];;;;;;;;;;;;;x
EVTDESC300999;The Kurdish tribes are fiercely independent, almost to the point of lawlessness and rebellion, and due to the harsh terrain virtually impossible to control. However the divided nature has meant they have been unable to resist our rule. Now a influential chieftan, a man by the name of Sheikh Ubeydullah, has managed to united the tribes on the $FROMCOUNTRY_ADJ$ side of the border, and he has now crossed the border to raise support with the tribes on our side. A noted nationalist, his success of uniting the Kurdish tribes are a possible sign of a coming push for an independent Kurdistan.;;;;;;;;;;;;x
EVTNAME301000;The Rise of Sheikh Ubeydullah;;;;;;;;;;;;x
EVTDESC301000;The Kurdish tribes are fiercely independent, almost to the point of lawlessness and rebellion, and due to the harsh terrain virtually impossible to control. However their divided nature has meant they have been unable to resist our rule. However recent military setbacks has caused our influence among the Kurdish to wane.\nExploiting this disorder and lawlessness, the influential chieftain Sheikh Ubeydullah has been able to fill the power vacuum and expand his power base. A noted nationalist, his success of uniting the Kurdish tribes are a possible sign of a coming push for an independent Kurdistan.;;;;;;;;;;;;x
