;;;;;;;;;;;;x
AUS_628;Sudetenland;;;;;;;;;;;;x
RUS_947;Vitebsk;;;;;;;;;;;;x
RUS_964;Taurida;;;;;;;;;;;;x
RUS_968;Novorossiya;;;;;;;;;;;;x
RUS_977;Voronezh;;;;;;;;;;;;x
RUS_978;Poltava;;;;;;;;;;;;x
RUS_979;Don;;;;;;;;;;;;x
RUS_981;Pomorye;;;;;;;;;;;;x
RUS_990;Kostroma;;;;;;;;;;;;x
RUS_1016;Severia;;;;;;;;;;;;x
RUS_1020;Nizhgorod;;;;;;;;;;;;x
RUS_1034;Samara;;;;;;;;;;;;x
RUS_1039;Saratov;;;;;;;;;;;;x
RUS_1060;Orenburzhye;;;;;;;;;;;;x
ABU_1162;El Hejer;;;;;;;;;;;;x
YEM_1178;Yemen;;;;;;;;;;;;x
ENG_1304;Vellore;;;;;;;;;;;;x
YEM_1412;Hadramaut;;;;;;;;;;;;x
ENG_1721;Coromandel Coast;;;;;;;;;;;;x
EGY_1758;Desert;;;;;;;;;;;;x
FRA_2406;Desolation Islands;;;;;;;;;;;;x
PROV629;Pilsen;;;;;;;;;;;;x
PROV630;Krummau;;;;;;;;;;;;x
PROV631;Brunn;;;;;;;;;;;;x
PROV632;Znaim;;;;;;;;;;;;x
PROV637;Kassa;;;;;;;;;;;;x
PROV657;Eperjes;;;;;;;;;;;;x
PROV911;Al-Qurayyat;;;;;;;;;;;;x
PROV955;Kamenets;;;;;;;;;;;;x
PROV956;Rovno;;;;;;;;;;;;x
PROV959;Zhitomir;;;;;;;;;;;;x
PROV960;Cherkassy;;;;;;;;;;;;x
PROV961;Chelm;;;;;;;;;;;;x
PROV969;Starodub;;;;;;;;;;;;x
PROV971;Elisavetgrad;;;;;;;;;;;;x
PROV974;Priluki;;;;;;;;;;;;x
PROV975;Slavyansk;;;;;;;;;;;;x
PROV981;Arkhagelsk;;;;;;;;;;;;x
PROV1020;Nizhny Novgorod;;;;;;;;;;;;x
PROV1028;Vyatka;;;;;;;;;;;;x
PROV1068;Ulala;;;;;;;;;;;;x
PROV1137;Jahrom;;;;;;;;;;;;x
PROV1138;Lengeh;;;;;;;;;;;;x
PROV1141;Hajjiabad;;;;;;;;;;;;x
PROV1145;Bunpoor;;;;;;;;;;;;x
PROV1158;Al-Nefud;;;;;;;;;;;;x
PROV1185;Shu;;;;;;;;;;;;x
PROV1186;Alma Ata;;;;;;;;;;;;x
PROV1188;Qaratal;;;;;;;;;;;;x
PROV1189;Bishkek;;;;;;;;;;;;x
PROV1190;Naryn;;;;;;;;;;;;x
PROV1191;Khiva;;;;;;;;;;;;x
PROV1192;Nukus;;;;;;;;;;;;x
PROV1193;Kyzylorda;;;;;;;;;;;;x
PROV1194;Aqtau;;;;;;;;;;;;x
PROV1195;Tashkent;;;;;;;;;;;;x
PROV1196;Dashhowuz;;;;;;;;;;;;x
PROV1197;Turkestan;;;;;;;;;;;;x
PROV1198;Bukhoro;;;;;;;;;;;;x
PROV1199;Samarkand;;;;;;;;;;;;x
PROV1200;Qarshi;;;;;;;;;;;;x
PROV1201;Khojand;;;;;;;;;;;;x
PROV1202;Kokand;;;;;;;;;;;;x
PROV1203;Osh;;;;;;;;;;;;x
PROV1204;Karakum Desert;;;;;;;;;;;;x
PROV1205;Esq-abad;;;;;;;;;;;;x
PROV1206;Merv;;;;;;;;;;;;x
PROV1207;Kulob;;;;;;;;;;;;x
PROV1208;Khorug;;;;;;;;;;;;x
PROV1211;Sheberghan;;;;;;;;;;;;x
PROV1304;Vellore;;;;;;;;;;;;x
PROV1594;Kashgar;;;;;;;;;;;;x
PROV1721;Madras;;;;;;;;;;;;x
PROV1739;Western Libyan Desert;;;;;;;;;;;;x
PROV1758;Eastern Libyan Desert;;;;;;;;;;;;x
PROV1813;Trankebar;;;;;;;;;;;;x
PROV1814;Bilma;;;;;;;;;;;;x
PROV1817;Pulicat;;;;;;;;;;;;x
PROV2244;Christmas & Cocos Islands;;;;;;;;;;;;x
PROV2406;Kerguelen;;;;;;;;;;;;x
PROV2564;Southern Libyan Desert;;;;;;;;;;;;x
PROV2585;Saint Barthelemy;;;;;;;;;;;;x
PROV2586;Rub'al Khali;;;;;;;;;;;;x
PROV2607;Taklimakan;;;;;;;;;;;;x
PROV2619;Kunduz;;;;;;;;;;;;x
PROV2654;Chardzhou;;;;;;;;;;;;x
PROV2664;Oskemen;;;;;;;;;;;;x
PROV2667;Taraz;;;;;;;;;;;;x
PROV2668;Kussurkund;;;;;;;;;;;;x
PROV2673;Kyzylkum Desert;;;;;;;;;;;;x
