;;;;;;;;;;;;;x
PDR_reactionary;Padris;Padris;Padris;;Padris;;;;;;;;;x
PDR_liberal;Bodi Caniagoists;Bodi Caniagoists;Bodi Caniagoists;;Bodi Caniagoists;;;;;;;;;x
PDR_conservative;Adats;Adats;Adats;;Adats;;;;;;;;;x
PDR_anarcho_liberal;Anarcho-Liberals;Anarcho-Liberals;Anarcho-Liberals;;Anarcho-Liberals;;;;;;;;;x
PDR_socialist;Socialists;Socialists;Socialists;;Socialists;;;;;;;;;x
PDR_communist;Communists;Communists;Communists;;Communists;;;;;;;;;x
PDR_fascist;Marawaists;Marawaists;Marawaists;;Marawaists;;;;;;;;;x
PDR_social_liberal;Social-Liberals;Social-Liberals;Social-Liberals;;Social-Liberals;;;;;;;;;x
NET_regeringsgezind;Regeringsgezinden;;;;;;;;;x
NET_financieel_oppositionele;Financieel Oppositionelen;;;;;;;;;x
NET_oppositioneel;Oppositionelen;;;;;;;;;x
NET_ultraconservatief;Ultraconservatieven;;;;;;;;;x
NET_moderaat;Moderaten;;;;;;;;;x
NET_conservatief;Conservatieven;;;;;;;;;x
NET_vrij_antirevolutionaire_partij;Vrije Antirevolutionaire Partij;;;;;;;;;x
NET_conservatief_liberaal;Conservatief Liberalen;;;;;;;;;x
NET_algemeene_bond;Algemeene Bond;;;;;;;;;x
NET_christelijk_hervormd;Christlijk-Historische Unie;;;;;;;;;x
NET_rooms_katholiek_1;Rooms Katholieken;;;;;;;;;x
NET_rooms_katholiek_2;Rooms Katholieken;;;;;;;;;x
NET_schaepmannianen;Schaepmannianen;;;;;;;;;x
NET_bahlmannianen;Bahlmannianen;;;;;;;;;x
NET_antirevolutionair;Antirevolutionairen;;;;;;;;;x
NET_antirevolutionair_partij;Antirevolutionare Partij;;;;;;;;;x
NET_antirevolutionair_partij_2;Antirevolutionaire Partij;;;;;;;;;x
NET_staatkundig_reformeerde_partij;Staatkundig Gereformeerde Partij;;;;;;;;;x
NET_oude_vrije_liberale;Oude/Vrije Liberalen;;;;;;;;;x
NET_pragmatisch_liberaal;Pragmatisch Liberalen;;;;;;;;;x
NET_thorbeckiaan;Thorbeckianen;;;;;;;;;x
NET_liberale_unie;Liberale Unie;;;;;;;;;x
NET_vrijheidsbond;Liberale Staatspartij;;;;;;;;;x
NET_vrijzinnige_democraten;Vrijzinnige Democraten;;;;;;;;;x
NET_puttiaan;Puttianen;;;;;;;;;x
NET_radicaal_liberaal;Radikale Bond;;;;;;;;;x
NET_vrije_socialisten;Vrije Socialisten;;;;;;;;;x
NET_sociaal_democratische_bond;Sociaal Democratische Bond;;;;;;;;;x
NET_sociaal_democratische_arbeiderspartij;Sociaal Democratische Arbeiderspartij;;;;;;;;;x
NET_social_democratische_partij;Sociaal Democratische Partij;;;;;;;;;x
NET_communistische_partij_holland;Communistische Partij Holland;;;;;;;;;x
NET_socialistische_partij;Socialistische Partij;;;;;;;;;x
HOL_fascist;Nationaal-Socialistische Beweging;;;;;;;;;x
