;;;;;;;;;;;;;x
government_of_india_act;Government of India Act;;;;;;;;;;;;;x
amir_kabir_attending;Appointed Amir Kabir;;;;;;;;;;;;;x
naser_in_europe;The Shah's Tour of Europe;;;;;;;;;;;;;x
the_treaty_of_paris_persia_title;The Treaty of Paris;;;;;;;;;;;;;x
the_treaty_of_paris_persia_desc;The Treaty of Paris settles the war over Herat. In it Persia abandon all claims to Herat and the other Afghan principalities, recognising them as independent states outside of their sphere of influence.;;;;;;;;;;;;;x
takiya_dawlat_title;The Takiya Dawlat;;;;;;;;;;;;;x
takiya_dawlat_desc;Ashura is a time of great religious significance to Shi'a Muslims. It is the mourning of the martyrdom of Imam Hussein, who was killed the by the tyrannical Caliph Yazid. Over the past few decades a new phenomenon around Ashura has taken root: the ta'ziya: plays depicting the matyrdom of Hussein. These plays take place on specifially build stages called a takiya. As ta'ziya are rapidly grow in popularity, it has become time for Tehran to get its own takiya, on a scale grander than any other!;;;;;;;;;;;;;x
treaty_of_erzurum_title;The Second Treaty of Erzurum;;;;;;;;;;;;;x
treaty_of_erzurum_desc;While various treaties have demarked the border Persian-Ottoman border, tension have remained high throughout history. Today is no different, and various border incidents [of variable intensity] are threating to throw our empires into war. The Great Powers are fearful of this prospect and have offered to help us to definitively demark the border and settle all remaining disputes for once and all. [Ottoman Empire looses all cores on all Persian owned provinces, Persia looses all cores on Ottoman owned provinces, should the other side accept.];;;;;;;;;;;;;x
per_expedition_to_europe_title;The Shah's Tour of Europe;;;;;;;;;;;;;x
per_expedition_to_europe_desc;Our prime minster has steadily been trying reform and modernise Persia, but it has been slow going. He has suggested making a trip to Europe to witness first handed the progress being made there. He hopes that seeing it first handed will allow us to learn from Europe and implement the necessary reforms here in Persia.;;;;;;;;;;;;;x
recognize_afghanistan_title;Recognise the Kingdom of Afghanistan;;;;;;;;;;;;;x
recognize_afghanistan_desc;The region currently occupied by Afghanistan had long been part of the territory ruled by the Persian dynasties. Only with the emergence of the Durrani dynasty has it become indepent. Still conflict lingers surrounding certain territories claimed by both sides. We are being pressured to finally recognise the borders as they exist today.;;;;;;;;;;;;;x
appoint_amir_kabir_title;Appoint Amir Kabir as Prime Minister;;;;;;;;;;;;;x
appoint_amir_kabir_desc;While of low birth Amir Kabir, born Mirza Tagha Khan Farahani, has shown an extraordinairy talent for administration. Ever since catching the eye of a high official he has made a meteoric rise through the ranks. Starting out as stable master, he quickly became mostofi-ye nezam, chief financial administator of the army, before being assigned to the commission delineating the Ottoman border. A posting he executed with furore. For the past few years he served as the tutor to the then crown prince and current Shah Naser Al-Din. Perhaps it is time to elevate this visonary administrator to higher office?;;;;;;;;;;;;;x
build_niavaran_title;Build Niavaran Palace;;;;;;;;;;;;;x
build_niavaran_desc;The old imperial palaces of Persia all date to Qajar rule, and are statements to their reign. Both their splendor and their ultimate failures. As a new dynasty we need to dissassociate ourself with the previous dynasty and build our own palaces.;;;;;;;;;;;;;x
bombard_the_majles_title;Bombard the Majles;;;;;;;;;;;;;x
